city,state,lat,lng,countyName
ROCHESTER,WA,46.8288,-123.0722,THURSTON
PASCO,WA,46.2506,-119.1304,FRANKLIN
SEABECK,WA,47.6437,-122.8219,KITSAP
BLACK DIAMOND,WA,47.313,-122.0181,KING
CASHMERE,WA,47.5177,-120.4673,CHELAN
PUYALLUP,WA,47.1794,-122.2902,PIERCE
MANSON,WA,47.8858,-120.1563,CHELAN
SAMMAMISH,WA,47.6017,-122.0416,KING
COWICHE,WA,46.6729,-120.7154,YAKIMA
TUMWATER,WA,46.989,-122.9173,THURSTON
GRANITE FALLS,WA,48.0874,-121.9706,SNOHOMISH
IONE,WA,48.7401,-117.4215,PEND OREILLE
SUMNER,WA,47.2189,-122.2338,PIERCE
SOUTH BEND,WA,46.6678,-123.8006,PACIFIC
DARRINGTON,WA,48.2546,-121.6031,SNOHOMISH
WAPATO,WA,46.4435,-120.4215,YAKIMA
EDMONDS,WA,47.8115,-122.3533,SNOHOMISH
KALAMA,WA,46.0164,-122.8402,COWLITZ
KELSO,WA,46.1236,-122.891,COWLITZ
HOODSPORT,WA,47.402,-123.1542,MASON
TIETON,WA,46.7026,-120.756,YAKIMA
BAINBRIDGE ISLAND,WA,47.6439,-122.5434,KITSAP
REDMOND,WA,47.6762,-122.1169,KING
TROUT LAKE,WA,45.9975,-121.529,KLICKITAT
ABERDEEN,WA,46.9757,-123.8094,GRAYS HARBOR
SELAH,WA,46.6482,-120.539,YAKIMA
LAKE STEVENS,WA,48.0028,-122.096,SNOHOMISH
KENMORE,WA,47.7516,-122.2489,KING
CLARKSTON,WA,46.4161,-117.0505,ASOTIN
AIRWAY HEIGHTS,WA,47.646,-117.5792,SPOKANE
BOTHELL,WA,47.7735,-122.2044,KING
MAPLE VALLEY,WA,47.3659,-122.0368,KING
PORT TOWNSEND,WA,48.122,-122.7872,JEFFERSON
WALLA WALLA,WA,46.067,-118.3366,WALLA WALLA
COLLEGE PLACE,WA,46.0419,-118.3879,WALLA WALLA
WILKESON,WA,47.1034,-122.0495,PIERCE
SHELTON,WA,47.2186,-123.112,MASON
RENTON,WA,47.4784,-122.1919,KING
LYNNWOOD,WA,47.8284,-122.3033,SNOHOMISH
FRIDAY HARBOR,WA,48.5324,-123.0655,SAN JUAN
EAST WENATCHEE,WA,47.4174,-120.2822,DOUGLAS
SNOQUALMIE,WA,47.5293,-121.8412,KING
EPHRATA,WA,47.3122,-119.534,GRANT
CLEAR LAKE,WA,46.9312,-122.2843,PIERCE
ROSBURG,WA,46.3076,-123.6344,WAHKIAKUM
WESTPORT,WA,46.8917,-124.1118,GRAYS HARBOR
LANGLEY,WA,48.0337,-122.4084,ISLAND
ELLENSBURG,WA,46.9994,-120.5477,KITTITAS
COUPEVILLE,WA,48.2172,-122.6775,ISLAND
COLFAX,WA,46.903,-117.3399,WHITMAN
INCHELIUM,WA,48.3379,-118.2372,FERRY
BURLINGTON,WA,48.4676,-122.3298,SKAGIT
BATTLE GROUND,WA,45.7765,-122.5413,CLARK
MOUNT VERNON,WA,48.4202,-122.3115,SKAGIT
LYNDEN,WA,48.9502,-122.4545,WHATCOM
PORT ORCHARD,WA,47.5163,-122.661,KITSAP
WOODLAND,WA,45.9145,-122.7506,COWLITZ
ROSLYN,WA,47.2511,-121.099,KITTITAS
WAITSBURG,WA,46.2696,-118.151,WALLA WALLA
CASTLE ROCK,WA,46.2709,-122.9051,COWLITZ
VANTAGE,WA,46.9452,-119.9921,KITTITAS
DAVENPORT,WA,47.655,-118.1519,LINCOLN
RAYMOND,WA,46.6839,-123.738,PACIFIC
DUVALL,WA,47.7354,-121.9726,KING
CENTRALIA,WA,46.7226,-122.9696,LEWIS
FOX ISLAND,WA,47.2475,-122.6255,PIERCE
OAKESDALE,WA,47.1305,-117.2465,WHITMAN
SPRAGUE,WA,47.3049,-117.9714,LINCOLN
KETTLE FALLS,WA,48.6055,-118.062,STEVENS
GOLD BAR,WA,47.8563,-121.692,SNOHOMISH
ORCHARDS,WA,45.689,-122.5306,CLARK
MALO,WA,48.7997,-118.6119,FERRY
HOBART,WA,47.412,-121.996,KING
STANWOOD,WA,48.2449,-122.3425,SNOHOMISH
DEER PARK,WA,47.9642,-117.4398,SPOKANE
RAVENSDALE,WA,47.3563,-121.9692,KING
LIBERTY LAKE,WA,47.6687,-117.1032,SPOKANE
COLVILLE,WA,48.5454,-117.8986,STEVENS
MABTON,WA,46.2114,-119.9938,YAKIMA
BLAINE,WA,48.9839,-122.7414,WHATCOM
